title,year,link
UNIDO Newsletter - Issue 27,2026,https://www.unido.org/sites/default/files/unido-publications/2026-03/UNIDO%20Newsletter%20-%20%20Issue%2027.pdf
IID Policy Brief 28: Navigating a fragmenting global economy: What GVC reconfiguration means for future industrial development,2026,https://www.unido.org/sites/default/files/unido-publications/2026-02/IID%20Policy%20Brief%2028%20-%20Navigating%20a%20fragmenting%20global%20economy.pdf
"Sustainable, Competitive and Resilient Value Chains: The One UN Response",2026,https://www.unido.org/sites/default/files/unido-publications/2026-02/Sustainable%2C%20competitive%20and%20resilient%20value%20chains%20-%20the%20One%20UN%20response.pdf
IID Policy Brief 27: Agrifood Systems Transformation and the Future of Industrialization in Developing Countries,2026,https://www.unido.org/sites/default/files/unido-publications/2026-02/IID%20Policy%20Brief%2027%20-%20Agrifood%20systems%20transformation.pdf
Global Best Practice Framework for Organizations performing Benchmarking Activities for Certification-related Conformity Assessment Schemes,2026,https://www.unido.org/sites/default/files/unido-publications/2026-02/Global%20Best%20Practice%20Framework%20for%20Organizations%20performing%20Benchmarking%20Activities%20for%20Certification-related%20Conformity%20Assessment%20Schemes%20v2.pdf
UNIDO's SSTIC Achievements 2025 - A Year in Review,2026,https://www.unido.org/sites/default/files/unido-publications/2026-02/UNIDO%20SSTIC%202025%20-%20A%20Year%20in%20Review%20Report.pdf
Industrial Recovery Programme for the Syrian Arab Republic (2026-2030),2026,https://www.unido.org/sites/default/files/unido-publications/2026-02/Industrial%20Recovery%20Programme%20for%20the%20Syrian%20Arab%20Republic%20%282026-2030%29.pdf
Industrial Recovery Programme for Sudan (2026-2030),2026,https://www.unido.org/sites/default/files/unido-publications/2026-02/Industrial%20Recovery%20Programme%20for%20Sudan%20%282026-2030%29.pdf
Industrial Policies for Economic Diversification in Qatar - A research and Policy Agenda,2026,https://www.unido.org/sites/default/files/unido-publications/2026-02/Industrial%20Policies%20for%20Economic%20Diversification%20in%20Qatar%20-%20UNIDO%20EARTHNA%20Final.pdf
Regional Value Chains in Africa - A comprehensive mapping across eight Regional Economic Communities,2026,https://www.unido.org/sites/default/files/unido-publications/2026-02/Regional%20Value%20Chains%20in%20Africa%20UNIDO-GPI%20report_0.pdf
IID Policy Brief 26: Resilient Global Supply Chains in Times of Escalating Trade Costs,2025,https://www.unido.org/sites/default/files/unido-publications/2025-10/IID%20Policy%20Brief%2026%20-%20Resilient%20global%20supply%20chains%20in%20times%20of%20escalating%20trade%20costs.pdf
Annual Report 2024,2025,https://www.unido.org/sites/default/files/unido-publications/2025-04/ANNUAL%20REPORT%202024.pdf
Vienna Food Safety Forum 2025 Outcome Report,2025,https://www.unido.org/sites/default/files/unido-publications/2026-02/VFSF2025%20_%20Outcome%20Report.pdf
Building Sustainable Supply Chains for Developing Economies: Pathways to 2050,2025,https://www.unido.org/sites/default/files/unido-publications/2026-02/Building%20Sustainable%20Supply%20Chains%20for%20Developing%20Economies%20-%20Pathways%20to%202050.pdf
Programme for Country Partnership (PCP) State of Palestine (2025-2030),2025,https://www.unido.org/sites/default/files/unido-publications/2026-02/Programme%20for%20Country%20Partnership%20%28PCP%29%20State%20of%20Palestine%20%282025-2030%29.pdf
Riyadh Declaration (2025),2025,https://www.unido.org/sites/default/files/unido-publications/2026-02/Riyadh%20Declaration.pdf
Global Stocktake of National Circular Economy Roadmaps and Strategies: 2025 Update,2025,https://www.unido.org/sites/default/files/unido-publications/2026-01/Stocktake%20CE%20Roadmaps%202025.pdf
UNIDO Newsletter - Special Edition: GC21,2025,https://www.unido.org/sites/default/files/unido-publications/2026-01/Newsletter%20special%20edition_%20GC21.pdf
UNIDO-EU Partnership Report,2025,https://www.unido.org/sites/default/files/unido-publications/2026-01/UNIDO-EU%20Partnership%20Report.pdf
"A Window to the Future: Quality and Standards for Innovation, Market Access, and Recovery",2025,https://www.unido.org/sites/default/files/unido-publications/2026-01/Window-to-the-future-quality-and-standards-for-innovation-market-access-and-recovery.pdf
The City-Industry Climate Nexus - Cities as Engines of Global Net-Zero Transitions in a Shifting World,2025,https://www.unido.org/sites/default/files/unido-publications/2026-01/The%20City-Industry%20Climate%20Nexus.pdf
Digital Product Passport Readiness Assessment Study for the Textile Industry in the Global South,2025,https://www.unido.org/sites/default/files/unido-publications/2025-12/DPP-Report-V_1.6-lr.pdf
AIM Global CoE Brochure,2025,https://www.unido.org/sites/default/files/files/2025-11/AIM%20CoE%20Brochure.pdf
"Leveraging UNIDO’s FairShare principles to embed fairness, skills and sustainability into global supply chains",2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/Leveraging%20UNIDO%E2%80%99s%20FairShare%20principles%20to%20embed%20fairness%2C%20skills%20and%20sustainability%20into%20global%20supply%20chains.pdf
International Yearbook of Industrial Statistics - 2025,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/UNIDO%20Industrial%20Statistics%20Yearbook%202025.pdf
Industrial Development Report 2026,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/UNIDO%20IDR26.pdf
Clean Energy and Climate Action in Industry: Pathways to 2050 - Summary,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/Clean%20Energy%20and%20Climate%20Action%20in%20Industry%20-%20Pathways%20to%202050%20-%20Summary.pdf
Building Sustainable Supply Chains for Developing Economies: Pathways to 2050 - Summary,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/Building%20Sustainable%20Supply%20Chains%20for%20Developing%20Economies%20-%20Pathways%20to%202050%20-%20Summary.pdf
Beyond Catch-Up: The End of Business as Usual for Industrial Development - Summary,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/Beyond%20Catch-Up%20-%20The%20End%20of%20Business%20as%20Usual%20for%20Industrial%20Development%20-%20Summary.pdf
The Future of Industries for Development - UNIDO's Vision 2050 - Summary,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/The%20Future%20of%20Industries%20for%20Development%20-%20UNIDO%27s%20Vision%202050%20-%20Summary.pdf
The Future of Industries for Development - UNIDO's Vision 2050,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/The%20Future%20of%20Industries%20for%20Development%20-%20UNIDO%27s%20Vision%202050.pdf
UNIDO Youth Empowerment Framework 2026-2029,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/UNIDO%20Youth%20Empowerment%20Framework%202026-2029.pdf
